CAMPUS_ID;ENROLLMENT_PHASE_ID;YEAR;SEMESTER;START_TIMESTAMP;END_TIMESTAMP
1;1;2023;1;2023-02-16 09:00:00;2023-02-17 18:00:00
1;3;2023;1;2023-02-27 10:00:00;2023-02-27 18:00:00
1;4;2023;1;2023-02-28 09:00:00;2023-02-28 18:00:00
1;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
2;1;2023;1;2023-02-13 09:00:00;2023-02-14 18:00:00
2;3;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
2;4;2023;1;2023-02-23 09:00:00;2023-02-23 18:00:00
2;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
3;1;2023;1;2023-02-10 09:00:00;2023-02-12 18:00:00
3;3;2023;1;2023-02-16 09:00:00;2023-02-16 18:00:00
3;4;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
3;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
4;1;2023;1;2023-02-15 09:00:00;2023-02-17 18:00:00
4;3;2023;1;2023-02-24 09:00:00;2023-02-24 18:00:00
4;4;2023;1;2023-02-25 09:00:00;2023-02-27 18:00:00
4;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
5;1;2023;1;2023-02-10 09:00:00;2023-02-13 18:00:00
5;3;2023;1;2023-02-16 09:00:00;2023-02-17 18:00:00
5;4;2023;1;2023-02-23 09:00:00;2023-02-24 18:00:00
5;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
6;1;2023;1;2023-02-16 09:00:00;2023-02-17 18:00:00
6;3;2023;1;2023-02-27 09:00:00;2023-02-27 18:00:00
6;4;2023;1;2023-02-28 09:00:00;2023-02-28 18:00:00
6;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
7;1;2023;1;2023-02-09 09:00:00;2023-02-12 18:00:00
7;3;2023;1;2023-02-16 09:00:00;2023-02-16 18:00:00
7;4;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
7;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
8;1;2023;1;2023-02-10 09:00:00;2023-02-13 18:00:00
8;3;2023;1;2023-02-16 09:00:00;2023-02-16 18:00:00
8;4;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
8;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
9;1;2023;1;2023-02-13 09:00:00;2023-02-15 18:00:00
9;3;2023;1;2023-02-23 09:00:00;2023-02-24 18:00:00
9;4;2023;1;2023-02-25 09:00:00;2023-02-27 18:00:00
9;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
10;1;2023;1;2023-02-13 09:00:00;2023-02-14 18:00:00
10;3;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
10;4;2023;1;2023-02-23 09:00:00;2023-02-26 18:00:00
10;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
11;1;2023;1;2023-02-13 09:00:00;2023-02-14 18:00:00
11;3;2023;1;2023-02-16 09:00:00;2023-02-16 18:00:00
11;4;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
11;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
12;1;2023;1;2023-02-13 09:00:00;2023-02-14 18:00:00
12;3;2023;1;2023-02-16 09:00:00;2023-02-16 18:00:00
12;4;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
12;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
13;1;2023;1;2023-02-10 09:00:00;2023-02-14 18:00:00
13;3;2023;1;2023-02-17 09:00:00;2023-02-17 18:00:00
13;4;2023;1;2023-02-23 09:00:00;2023-02-24 18:00:00
13;5;2023;1;2023-03-01 09:00:00;2023-03-01 18:00:00
